,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,288.0,27.0,0.0,4.0,63.0,442.0,3.0,190.0
EPAD,597.0,53.0,3.0,6.0,22.0,411.0,6.0,139.0
AIBL,19.0,2.0,1.0,2.0,2.0,18.0,3.0,10.0
ARWIBO,49.0,7.0,1.0,11.0,28.0,79.0,3.0,39.0
EDSD,24.0,0.0,1.0,2.0,1.0,52.0,1.0,4.0
PREVENT-AD,0.0,1.0,0.0,0.0,3.0,115.0,1.0,13.0
PharmaCog,44.0,0.0,0.0,4.0,29.0,63.0,0.0,5.0
NACC,159.0,5.0,10.0,7.0,12.0,182.0,64.0,67.0
EMIF,281.0,18.0,16.0,10.0,31.0,380.0,79.0,199.0
DOD-ADNI,10.0,8.0,0.0,1.0,0.0,85.0,0.0,9.0
JADNI,56.0,0.0,3.0,0.0,14.0,60.0,6.0,58.0
