,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,262.0,23.0,6.0,0.0,20.0,458.0,17.0,231.0
EPAD,578.0,50.0,3.0,6.0,21.0,430.0,6.0,143.0
AIBL,9.0,0.0,0.0,1.0,1.0,38.0,0.0,8.0
ARWIBO,61.0,6.0,4.0,2.0,6.0,96.0,25.0,17.0
EDSD,20.0,1.0,5.0,1.0,0.0,28.0,17.0,13.0
PREVENT-AD,92.0,20.0,2.0,11.0,0.0,3.0,1.0,4.0
PharmaCog,40.0,0.0,5.0,0.0,1.0,60.0,15.0,24.0
NACC,175.0,6.0,1.0,11.0,42.0,209.0,31.0,31.0
EMIF,326.0,15.0,8.0,11.0,49.0,432.0,37.0,136.0
DOD-ADNI,4.0,4.0,0.0,0.0,2.0,93.0,0.0,10.0
JADNI,51.0,0.0,5.0,0.0,5.0,58.0,13.0,65.0
