,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,265.0,31.0,11.0,0.0,25.0,424.0,17.0,244.0
EPAD,599.0,45.0,9.0,4.0,15.0,421.0,5.0,139.0
AIBL,15.0,0.0,2.0,1.0,1.0,30.0,0.0,8.0
ARWIBO,54.0,8.0,7.0,2.0,4.0,81.0,31.0,30.0
EDSD,19.0,1.0,5.0,1.0,0.0,38.0,16.0,5.0
PREVENT-AD,0.0,1.0,0.0,0.0,5.0,99.0,5.0,23.0
PharmaCog,44.0,2.0,3.0,0.0,1.0,61.0,10.0,24.0
NACC,170.0,7.0,11.0,9.0,15.0,176.0,51.0,67.0
EMIF,302.0,12.0,10.0,6.0,28.0,441.0,72.0,143.0
DOD-ADNI,49.0,10.0,0.0,2.0,1.0,43.0,0.0,8.0
JADNI,54.0,0.0,3.0,0.0,12.0,61.0,7.0,60.0
