,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,302.0,27.0,6.0,0.0,18.0,455.0,21.0,188.0
EPAD,602.0,46.0,8.0,3.0,14.0,422.0,4.0,138.0
AIBL,11.0,0.0,1.0,0.0,0.0,35.0,3.0,7.0
ARWIBO,63.0,0.0,7.0,1.0,0.0,111.0,35.0,0.0
EDSD,20.0,2.0,4.0,1.0,3.0,26.0,9.0,20.0
PREVENT-AD,94.0,11.0,0.0,7.0,0.0,16.0,1.0,4.0
PharmaCog,45.0,2.0,1.0,0.0,2.0,69.0,4.0,22.0
NACC,188.0,5.0,5.0,5.0,17.0,198.0,39.0,49.0
EMIF,298.0,16.0,8.0,10.0,47.0,416.0,57.0,162.0
DOD-ADNI,12.0,8.0,0.0,2.0,2.0,80.0,0.0,9.0
JADNI,57.0,0.0,1.0,0.0,25.0,69.0,2.0,43.0
