,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,266.0,32.0,12.0,0.0,14.0,423.0,25.0,245.0
EPAD,588.0,51.0,3.0,6.0,21.0,420.0,6.0,142.0
AIBL,19.0,0.0,1.0,0.0,1.0,28.0,0.0,8.0
ARWIBO,49.0,2.0,9.0,1.0,0.0,95.0,55.0,6.0
EDSD,23.0,2.0,7.0,1.0,0.0,25.0,12.0,15.0
PREVENT-AD,82.0,13.0,0.0,9.0,0.0,19.0,2.0,8.0
PharmaCog,47.0,1.0,0.0,0.0,6.0,73.0,1.0,17.0
NACC,179.0,6.0,4.0,4.0,18.0,203.0,39.0,53.0
EMIF,300.0,14.0,8.0,13.0,51.0,437.0,46.0,145.0
DOD-ADNI,12.0,7.0,0.0,3.0,2.0,80.0,0.0,9.0
JADNI,55.0,0.0,1.0,0.0,20.0,63.0,5.0,53.0
