,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,270.0,33.0,10.0,0.0,38.0,400.0,6.0,260.0
EPAD,572.0,54.0,4.0,4.0,16.0,424.0,11.0,152.0
AIBL,21.0,0.0,0.0,0.0,1.0,27.0,0.0,8.0
ARWIBO,28.0,0.0,6.0,1.0,0.0,132.0,50.0,0.0
EDSD,22.0,1.0,3.0,1.0,0.0,38.0,15.0,5.0
PREVENT-AD,90.0,5.0,0.0,2.0,0.0,30.0,1.0,5.0
PharmaCog,45.0,2.0,1.0,0.0,2.0,68.0,4.0,23.0
NACC,172.0,30.0,18.0,11.0,14.0,160.0,39.0,62.0
EMIF,300.0,15.0,7.0,18.0,66.0,427.0,39.0,142.0
DOD-ADNI,10.0,7.0,1.0,1.0,0.0,85.0,0.0,9.0
JADNI,122.0,53.0,10.0,9.0,0.0,3.0,0.0,0.0
