,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,253.0,25.0,9.0,0.0,37.0,409.0,10.0,274.0
EPAD,600.0,48.0,6.0,5.0,17.0,420.0,3.0,138.0
AIBL,17.0,0.0,0.0,0.0,5.0,31.0,0.0,4.0
ARWIBO,51.0,0.0,16.0,1.0,0.0,82.0,67.0,0.0
EDSD,19.0,1.0,5.0,1.0,0.0,31.0,15.0,13.0
PREVENT-AD,14.0,13.0,0.0,77.0,9.0,10.0,0.0,10.0
PharmaCog,45.0,2.0,1.0,0.0,2.0,67.0,5.0,23.0
NACC,148.0,3.0,6.0,12.0,17.0,217.0,45.0,58.0
EMIF,317.0,18.0,8.0,9.0,40.0,447.0,43.0,132.0
DOD-ADNI,57.0,10.0,0.0,3.0,0.0,36.0,0.0,7.0
JADNI,54.0,0.0,1.0,0.0,31.0,70.0,2.0,39.0
