,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,255.0,24.0,4.0,0.0,39.0,449.0,9.0,237.0
EPAD,600.0,45.0,7.0,5.0,16.0,424.0,2.0,138.0
AIBL,19.0,0.0,2.0,1.0,0.0,24.0,2.0,9.0
ARWIBO,58.0,2.0,6.0,1.0,0.0,108.0,36.0,6.0
EDSD,16.0,1.0,3.0,1.0,0.0,43.0,16.0,5.0
PREVENT-AD,105.0,13.0,3.0,2.0,0.0,6.0,1.0,3.0
PharmaCog,39.0,1.0,0.0,1.0,3.0,71.0,5.0,25.0
NACC,184.0,5.0,5.0,4.0,11.0,197.0,49.0,51.0
EMIF,319.0,18.0,12.0,6.0,34.0,399.0,64.0,162.0
DOD-ADNI,31.0,8.0,0.0,0.0,0.0,66.0,0.0,8.0
JADNI,55.0,0.0,1.0,0.0,14.0,73.0,4.0,50.0
