,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,281.0,22.0,6.0,0.0,11.0,492.0,24.0,181.0
EPAD,590.0,51.0,6.0,3.0,12.0,422.0,7.0,146.0
AIBL,4.0,0.0,0.0,0.0,0.0,40.0,4.0,9.0
ARWIBO,55.0,2.0,12.0,1.0,1.0,83.0,49.0,14.0
EDSD,20.0,1.0,5.0,1.0,0.0,29.0,16.0,13.0
PREVENT-AD,91.0,9.0,0.0,4.0,0.0,23.0,1.0,5.0
PharmaCog,46.0,1.0,2.0,0.0,1.0,68.0,4.0,23.0
NACC,185.0,6.0,6.0,4.0,17.0,194.0,42.0,52.0
EMIF,302.0,19.0,13.0,16.0,56.0,401.0,62.0,145.0
DOD-ADNI,45.0,8.0,0.0,1.0,0.0,51.0,0.0,8.0
JADNI,54.0,0.0,1.0,0.0,23.0,67.0,3.0,49.0
