,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,288.0,26.0,0.0,5.0,46.0,461.0,3.0,188.0
EPAD,597.0,53.0,3.0,5.0,21.0,412.0,6.0,140.0
AIBL,20.0,0.0,0.0,0.0,6.0,28.0,0.0,3.0
ARWIBO,47.0,11.0,5.0,7.0,10.0,68.0,12.0,57.0
EDSD,23.0,0.0,3.0,1.0,0.0,41.0,17.0,0.0
PREVENT-AD,92.0,10.0,0.0,7.0,0.0,19.0,1.0,4.0
PharmaCog,44.0,2.0,3.0,0.0,1.0,61.0,10.0,24.0
NACC,150.0,3.0,7.0,4.0,14.0,222.0,46.0,60.0
EMIF,272.0,14.0,14.0,3.0,35.0,436.0,81.0,159.0
DOD-ADNI,24.0,7.0,0.0,1.0,0.0,73.0,0.0,8.0
JADNI,55.0,0.0,1.0,0.0,21.0,80.0,2.0,38.0
