,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,259.0,25.0,5.0,0.0,37.0,442.0,11.0,238.0
EPAD,570.0,51.0,3.0,6.0,20.0,431.0,5.0,151.0
AIBL,16.0,0.0,2.0,0.0,0.0,29.0,2.0,8.0
ARWIBO,52.0,3.0,6.0,2.0,4.0,97.0,36.0,17.0
EDSD,20.0,1.0,5.0,1.0,0.0,34.0,19.0,5.0
PREVENT-AD,109.0,18.0,1.0,5.0,0.0,0.0,0.0,0.0
PharmaCog,43.0,0.0,0.0,0.0,4.0,76.0,2.0,20.0
NACC,152.0,3.0,10.0,1.0,8.0,234.0,49.0,49.0
EMIF,293.0,13.0,11.0,5.0,41.0,455.0,53.0,143.0
DOD-ADNI,46.0,10.0,0.0,2.0,0.0,47.0,0.0,8.0
JADNI,56.0,0.0,1.0,0.0,18.0,62.0,6.0,54.0
