,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,280.0,25.0,5.0,0.0,22.0,472.0,17.0,196.0
EPAD,587.0,58.0,2.0,4.0,18.0,405.0,9.0,154.0
AIBL,17.0,0.0,0.0,0.0,1.0,31.0,0.0,8.0
ARWIBO,50.0,0.0,14.0,1.0,0.0,77.0,75.0,0.0
EDSD,22.0,2.0,5.0,2.0,7.0,22.0,4.0,21.0
PREVENT-AD,89.0,20.0,0.0,12.0,0.0,6.0,1.0,5.0
PharmaCog,42.0,2.0,6.0,0.0,1.0,56.0,14.0,24.0
NACC,141.0,7.0,10.0,5.0,9.0,190.0,68.0,76.0
EMIF,292.0,19.0,17.0,6.0,24.0,384.0,76.0,196.0
DOD-ADNI,35.0,3.0,6.0,0.0,0.0,61.0,1.0,7.0
JADNI,54.0,0.0,1.0,0.0,15.0,67.0,6.0,54.0
