,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,273.0,36.0,9.0,0.0,45.0,381.0,5.0,268.0
EPAD,587.0,44.0,8.0,3.0,14.0,437.0,4.0,140.0
AIBL,5.0,3.0,1.0,0.0,3.0,24.0,6.0,15.0
ARWIBO,55.0,2.0,12.0,1.0,1.0,90.0,50.0,6.0
EDSD,18.0,2.0,4.0,2.0,9.0,28.0,3.0,19.0
PREVENT-AD,89.0,11.0,0.0,9.0,1.0,18.0,1.0,4.0
PharmaCog,42.0,1.0,1.0,1.0,2.0,68.0,5.0,25.0
NACC,186.0,9.0,12.0,3.0,11.0,171.0,49.0,65.0
EMIF,306.0,12.0,8.0,7.0,42.0,454.0,46.0,139.0
DOD-ADNI,92.0,9.0,0.0,2.0,1.0,7.0,0.0,2.0
JADNI,56.0,0.0,1.0,0.0,29.0,67.0,2.0,42.0
