,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,215.0,31.0,0.0,73.0,296.0,182.0,0.0,220.0
EPAD,587.0,55.0,3.0,5.0,19.0,409.0,9.0,150.0
AIBL,19.0,0.0,2.0,0.0,1.0,27.0,0.0,8.0
ARWIBO,62.0,0.0,12.0,1.0,0.0,92.0,50.0,0.0
EDSD,19.0,2.0,3.0,1.0,4.0,26.0,10.0,20.0
PREVENT-AD,0.0,1.0,0.0,0.0,4.0,110.0,2.0,16.0
PharmaCog,41.0,3.0,4.0,0.0,2.0,51.0,19.0,25.0
NACC,162.0,12.0,4.0,17.0,32.0,173.0,28.0,78.0
EMIF,285.0,13.0,9.0,9.0,54.0,436.0,55.0,153.0
DOD-ADNI,11.0,7.0,0.0,1.0,0.0,85.0,0.0,9.0
JADNI,64.0,3.0,2.0,2.0,29.0,45.0,3.0,49.0
