,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,264.0,19.0,1.0,0.0,39.0,506.0,5.0,183.0
EPAD,583.0,59.0,6.0,3.0,14.0,402.0,9.0,161.0
AIBL,3.0,1.0,0.0,9.0,26.0,9.0,0.0,9.0
ARWIBO,47.0,8.0,6.0,4.0,3.0,77.0,37.0,35.0
EDSD,22.0,1.0,7.0,1.0,0.0,25.0,16.0,13.0
PREVENT-AD,0.0,1.0,0.0,0.0,6.0,110.0,1.0,15.0
PharmaCog,43.0,2.0,2.0,1.0,3.0,61.0,9.0,24.0
NACC,163.0,4.0,5.0,4.0,14.0,213.0,44.0,59.0
EMIF,310.0,17.0,11.0,10.0,44.0,402.0,74.0,146.0
DOD-ADNI,39.0,6.0,0.0,1.0,2.0,59.0,0.0,6.0
JADNI,56.0,0.0,1.0,0.0,20.0,66.0,3.0,51.0
