,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,273.0,33.0,7.0,0.0,39.0,417.0,9.0,239.0
EPAD,590.0,57.0,2.0,5.0,20.0,401.0,8.0,154.0
AIBL,20.0,0.0,2.0,0.0,0.0,25.0,1.0,9.0
ARWIBO,59.0,2.0,13.0,1.0,0.0,80.0,57.0,5.0
EDSD,24.0,2.0,3.0,1.0,8.0,27.0,4.0,16.0
PREVENT-AD,83.0,6.0,2.0,1.0,0.0,35.0,2.0,4.0
PharmaCog,43.0,2.0,2.0,1.0,3.0,61.0,9.0,24.0
NACC,170.0,5.0,6.0,4.0,15.0,203.0,43.0,60.0
EMIF,269.0,20.0,13.0,4.0,41.0,422.0,62.0,183.0
DOD-ADNI,14.0,9.0,2.0,0.0,0.0,79.0,0.0,9.0
JADNI,54.0,0.0,1.0,0.0,26.0,70.0,2.0,44.0
