,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,256.0,25.0,5.0,0.0,45.0,434.0,7.0,245.0
EPAD,587.0,55.0,2.0,6.0,21.0,413.0,5.0,148.0
AIBL,17.0,0.0,2.0,0.0,1.0,28.0,1.0,8.0
ARWIBO,54.0,4.0,5.0,2.0,5.0,98.0,31.0,18.0
EDSD,23.0,0.0,1.0,2.0,7.0,44.0,2.0,6.0
PREVENT-AD,87.0,14.0,0.0,7.0,1.0,18.0,2.0,4.0
PharmaCog,49.0,1.0,2.0,0.0,2.0,66.0,4.0,21.0
NACC,142.0,5.0,9.0,20.0,32.0,178.0,46.0,74.0
EMIF,298.0,12.0,8.0,6.0,39.0,467.0,45.0,139.0
DOD-ADNI,52.0,6.0,0.0,1.0,2.0,46.0,0.0,6.0
JADNI,54.0,1.0,0.0,0.0,52.0,49.0,2.0,39.0
