,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,283.0,25.0,2.0,0.0,27.0,482.0,9.0,189.0
EPAD,568.0,50.0,4.0,6.0,19.0,435.0,6.0,149.0
AIBL,1.0,1.0,0.0,8.0,24.0,14.0,0.0,9.0
ARWIBO,49.0,6.0,5.0,3.0,4.0,84.0,33.0,33.0
EDSD,23.0,1.0,5.0,1.0,0.0,34.0,16.0,5.0
PREVENT-AD,1.0,10.0,0.0,106.0,13.0,0.0,0.0,3.0
PharmaCog,41.0,0.0,0.0,0.0,18.0,80.0,0.0,6.0
NACC,165.0,6.0,9.0,5.0,15.0,197.0,42.0,67.0
EMIF,294.0,15.0,7.0,10.0,52.0,427.0,55.0,154.0
DOD-ADNI,40.0,8.0,0.0,1.0,0.0,56.0,0.0,8.0
JADNI,56.0,0.0,1.0,0.0,23.0,74.0,2.0,41.0
