,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,267.0,32.0,7.0,0.0,54.0,408.0,3.0,246.0
EPAD,600.0,47.0,6.0,5.0,18.0,423.0,2.0,136.0
AIBL,16.0,0.0,2.0,0.0,0.0,30.0,1.0,8.0
ARWIBO,53.0,2.0,13.0,1.0,1.0,80.0,60.0,7.0
EDSD,20.0,1.0,5.0,1.0,2.0,35.0,10.0,11.0
PREVENT-AD,62.0,2.0,2.0,0.0,0.0,60.0,2.0,5.0
PharmaCog,47.0,0.0,0.0,2.0,19.0,71.0,0.0,6.0
NACC,164.0,4.0,17.0,2.0,6.0,197.0,70.0,46.0
EMIF,285.0,16.0,15.0,8.0,33.0,399.0,75.0,183.0
DOD-ADNI,5.0,8.0,1.0,1.0,0.0,88.0,0.0,10.0
JADNI,54.0,0.0,1.0,0.0,18.0,66.0,5.0,53.0
