,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,279.0,24.0,5.0,0.0,11.0,472.0,28.0,198.0
EPAD,599.0,50.0,4.0,5.0,18.0,420.0,3.0,138.0
AIBL,18.0,1.0,2.0,0.0,0.0,25.0,2.0,9.0
ARWIBO,44.0,8.0,6.0,7.0,9.0,74.0,13.0,56.0
EDSD,22.0,3.0,2.0,3.0,10.0,25.0,1.0,19.0
PREVENT-AD,0.0,1.0,0.0,0.0,2.0,117.0,2.0,11.0
PharmaCog,48.0,0.0,0.0,1.0,21.0,73.0,0.0,2.0
NACC,180.0,8.0,17.0,8.0,10.0,165.0,57.0,61.0
EMIF,278.0,16.0,12.0,6.0,42.0,414.0,69.0,177.0
DOD-ADNI,39.0,11.0,1.0,1.0,1.0,52.0,0.0,8.0
JADNI,46.0,0.0,1.0,0.0,15.0,77.0,5.0,53.0
