,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,260.0,25.0,4.0,0.0,38.0,442.0,11.0,237.0
EPAD,590.0,54.0,3.0,6.0,19.0,409.0,8.0,148.0
AIBL,8.0,0.0,0.0,2.0,2.0,36.0,1.0,8.0
ARWIBO,57.0,2.0,10.0,1.0,0.0,94.0,47.0,6.0
EDSD,23.0,1.0,6.0,0.0,0.0,34.0,17.0,4.0
PREVENT-AD,111.0,10.0,1.0,1.0,1.0,7.0,0.0,2.0
PharmaCog,45.0,1.0,3.0,0.0,1.0,63.0,10.0,22.0
NACC,180.0,6.0,9.0,7.0,17.0,188.0,37.0,62.0
EMIF,295.0,14.0,10.0,8.0,43.0,455.0,47.0,142.0
DOD-ADNI,33.0,6.0,0.0,2.0,3.0,64.0,0.0,5.0
JADNI,60.0,0.0,1.0,0.0,23.0,64.0,2.0,47.0
