,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,273.0,22.0,6.0,0.0,15.0,487.0,26.0,188.0
EPAD,567.0,51.0,2.0,6.0,22.0,435.0,5.0,149.0
AIBL,15.0,0.0,2.0,0.0,1.0,31.0,0.0,8.0
ARWIBO,70.0,24.0,7.0,13.0,7.0,44.0,8.0,44.0
EDSD,19.0,1.0,5.0,1.0,0.0,29.0,25.0,5.0
PREVENT-AD,101.0,12.0,1.0,7.0,0.0,9.0,0.0,3.0
PharmaCog,46.0,1.0,2.0,0.0,1.0,68.0,4.0,23.0
NACC,159.0,5.0,17.0,4.0,14.0,190.0,57.0,60.0
EMIF,302.0,13.0,6.0,30.0,83.0,399.0,38.0,143.0
DOD-ADNI,45.0,8.0,1.0,1.0,0.0,50.0,0.0,8.0
JADNI,56.0,0.0,3.0,0.0,13.0,61.0,6.0,58.0
