,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,256.0,24.0,6.0,0.0,33.0,446.0,11.0,241.0
EPAD,573.0,47.0,4.0,5.0,21.0,438.0,5.0,144.0
AIBL,21.0,0.0,3.0,0.0,0.0,22.0,3.0,8.0
ARWIBO,64.0,4.0,3.0,3.0,6.0,100.0,21.0,16.0
EDSD,12.0,1.0,3.0,1.0,2.0,40.0,14.0,12.0
PREVENT-AD,106.0,11.0,0.0,1.0,0.0,11.0,1.0,3.0
PharmaCog,41.0,0.0,2.0,0.0,1.0,72.0,6.0,23.0
NACC,163.0,8.0,14.0,8.0,16.0,175.0,53.0,69.0
EMIF,355.0,24.0,10.0,22.0,26.0,365.0,71.0,141.0
DOD-ADNI,48.0,9.0,1.0,0.0,0.0,47.0,0.0,8.0
JADNI,54.0,0.0,2.0,0.0,13.0,67.0,6.0,55.0
