,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,265.0,20.0,9.0,0.0,2.0,476.0,41.0,204.0
EPAD,593.0,44.0,8.0,3.0,14.0,432.0,3.0,140.0
AIBL,17.0,0.0,3.0,0.0,0.0,25.0,3.0,9.0
ARWIBO,48.0,2.0,6.0,1.0,2.0,99.0,47.0,12.0
EDSD,20.0,0.0,2.0,2.0,4.0,45.0,3.0,9.0
PREVENT-AD,73.0,5.0,0.0,2.0,1.0,45.0,1.0,6.0
PharmaCog,48.0,1.0,0.0,0.0,4.0,70.0,2.0,20.0
NACC,157.0,3.0,12.0,4.0,12.0,210.0,51.0,57.0
EMIF,293.0,14.0,9.0,9.0,58.0,461.0,36.0,134.0
DOD-ADNI,46.0,6.0,0.0,2.0,2.0,51.0,0.0,6.0
JADNI,52.0,0.0,3.0,0.0,13.0,60.0,8.0,61.0
