,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,282.0,23.0,13.0,0.0,0.0,459.0,51.0,189.0
EPAD,576.0,40.0,6.0,2.0,12.0,464.0,3.0,134.0
AIBL,17.0,1.0,1.0,3.0,6.0,18.0,0.0,11.0
ARWIBO,47.0,2.0,11.0,1.0,1.0,84.0,60.0,11.0
EDSD,20.0,1.0,5.0,1.0,2.0,35.0,10.0,11.0
PREVENT-AD,0.0,1.0,0.0,0.0,1.0,116.0,5.0,10.0
PharmaCog,44.0,1.0,3.0,0.0,1.0,61.0,12.0,23.0
NACC,147.0,5.0,9.0,3.0,10.0,213.0,54.0,65.0
EMIF,297.0,14.0,14.0,9.0,42.0,442.0,53.0,143.0
DOD-ADNI,48.0,10.0,1.0,2.0,1.0,43.0,0.0,8.0
JADNI,56.0,0.0,1.0,0.0,19.0,79.0,2.0,40.0
