,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,260.0,28.0,7.0,0.0,32.0,436.0,12.0,242.0
EPAD,594.0,51.0,3.0,6.0,21.0,414.0,6.0,142.0
AIBL,9.0,0.0,1.0,0.0,1.0,36.0,2.0,8.0
ARWIBO,57.0,1.0,5.0,2.0,3.0,107.0,32.0,10.0
EDSD,22.0,1.0,3.0,1.0,0.0,38.0,13.0,7.0
PREVENT-AD,111.0,2.0,7.0,0.0,0.0,10.0,3.0,0.0
PharmaCog,48.0,0.0,0.0,1.0,20.0,73.0,0.0,3.0
NACC,150.0,7.0,13.0,2.0,6.0,203.0,59.0,66.0
EMIF,302.0,12.0,8.0,4.0,31.0,474.0,54.0,129.0
DOD-ADNI,28.0,8.0,1.0,1.0,0.0,67.0,0.0,8.0
JADNI,55.0,0.0,1.0,0.0,21.0,68.0,3.0,49.0
