,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,260.0,20.0,11.0,0.0,0.0,472.0,37.0,217.0
EPAD,593.0,49.0,5.0,4.0,17.0,422.0,7.0,140.0
AIBL,17.0,0.0,1.0,0.0,1.0,30.0,0.0,8.0
ARWIBO,47.0,2.0,5.0,1.0,3.0,105.0,44.0,10.0
EDSD,20.0,1.0,5.0,1.0,0.0,37.0,16.0,5.0
PREVENT-AD,0.0,1.0,0.0,0.0,1.0,117.0,1.0,13.0
PharmaCog,42.0,0.0,2.0,0.0,2.0,73.0,4.0,22.0
NACC,163.0,6.0,11.0,7.0,17.0,196.0,44.0,62.0
EMIF,285.0,15.0,12.0,8.0,41.0,433.0,65.0,155.0
DOD-ADNI,50.0,8.0,0.0,1.0,0.0,46.0,0.0,8.0
JADNI,51.0,0.0,5.0,0.0,4.0,59.0,14.0,64.0
