,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,258.0,24.0,4.0,0.0,30.0,453.0,12.0,236.0
EPAD,597.0,52.0,3.0,6.0,22.0,414.0,4.0,139.0
AIBL,14.0,1.0,1.0,1.0,0.0,29.0,1.0,10.0
ARWIBO,55.0,2.0,12.0,1.0,1.0,83.0,54.0,9.0
EDSD,20.0,2.0,2.0,3.0,10.0,28.0,2.0,18.0
PREVENT-AD,95.0,10.0,2.0,5.0,0.0,16.0,1.0,4.0
PharmaCog,37.0,0.0,0.0,0.0,8.0,83.0,0.0,17.0
NACC,145.0,4.0,10.0,12.0,22.0,210.0,40.0,63.0
EMIF,299.0,19.0,15.0,4.0,33.0,412.0,61.0,171.0
DOD-ADNI,48.0,8.0,0.0,1.0,0.0,48.0,0.0,8.0
JADNI,53.0,0.0,4.0,0.0,6.0,56.0,13.0,65.0
