,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,268.0,18.0,3.0,0.0,20.0,510.0,13.0,185.0
EPAD,564.0,59.0,4.0,3.0,14.0,416.0,10.0,167.0
AIBL,9.0,1.0,1.0,0.0,0.0,33.0,4.0,9.0
ARWIBO,62.0,5.0,1.0,3.0,13.0,100.0,14.0,19.0
EDSD,24.0,0.0,1.0,2.0,8.0,44.0,1.0,5.0
PREVENT-AD,102.0,1.0,0.0,1.0,0.0,29.0,0.0,0.0
PharmaCog,45.0,1.0,2.0,0.0,1.0,67.0,6.0,23.0
NACC,138.0,4.0,7.0,13.0,16.0,201.0,55.0,72.0
EMIF,323.0,15.0,6.0,8.0,49.0,454.0,30.0,129.0
DOD-ADNI,32.0,7.0,0.0,2.0,0.0,64.0,0.0,8.0
JADNI,52.0,0.0,4.0,0.0,6.0,57.0,11.0,67.0
