,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,251.0,25.0,7.0,0.0,46.0,432.0,6.0,250.0
EPAD,599.0,43.0,8.0,3.0,11.0,432.0,5.0,136.0
AIBL,15.0,0.0,2.0,0.0,0.0,30.0,1.0,9.0
ARWIBO,48.0,8.0,2.0,9.0,19.0,80.0,9.0,42.0
EDSD,22.0,2.0,4.0,1.0,6.0,29.0,5.0,16.0
PREVENT-AD,123.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0
PharmaCog,41.0,1.0,1.0,0.0,2.0,66.0,9.0,25.0
NACC,140.0,5.0,10.0,5.0,14.0,226.0,43.0,63.0
EMIF,318.0,19.0,17.0,8.0,28.0,375.0,87.0,162.0
DOD-ADNI,42.0,10.0,1.0,2.0,1.0,49.0,0.0,8.0
JADNI,56.0,0.0,2.0,0.0,13.0,61.0,7.0,58.0
