,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,280.0,26.0,0.0,3.0,41.0,470.0,4.0,193.0
EPAD,599.0,57.0,3.0,6.0,19.0,405.0,6.0,142.0
AIBL,22.0,0.0,0.0,0.0,1.0,26.0,0.0,8.0
ARWIBO,44.0,9.0,6.0,7.0,5.0,71.0,20.0,55.0
EDSD,23.0,0.0,1.0,3.0,18.0,35.0,0.0,5.0
PREVENT-AD,0.0,1.0,0.0,0.0,2.0,121.0,0.0,9.0
PharmaCog,42.0,0.0,2.0,0.0,2.0,73.0,4.0,22.0
NACC,159.0,4.0,13.0,7.0,28.0,205.0,35.0,55.0
EMIF,296.0,14.0,8.0,7.0,43.0,436.0,63.0,147.0
DOD-ADNI,4.0,0.0,3.0,0.0,2.0,95.0,2.0,7.0
JADNI,56.0,0.0,1.0,0.0,28.0,72.0,2.0,38.0
