,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,279.0,35.0,7.0,0.0,35.0,415.0,10.0,236.0
EPAD,612.0,50.0,8.0,2.0,10.0,418.0,6.0,131.0
AIBL,20.0,0.0,2.0,0.0,0.0,26.0,1.0,8.0
ARWIBO,0.0,1.0,0.0,21.0,157.0,12.0,0.0,26.0
EDSD,21.0,0.0,1.0,2.0,1.0,54.0,2.0,4.0
PREVENT-AD,83.0,6.0,2.0,1.0,0.0,34.0,2.0,5.0
PharmaCog,45.0,1.0,2.0,0.0,2.0,70.0,3.0,22.0
NACC,165.0,4.0,10.0,4.0,12.0,205.0,52.0,54.0
EMIF,229.0,15.0,9.0,75.0,143.0,352.0,47.0,144.0
DOD-ADNI,33.0,8.0,1.0,1.0,0.0,62.0,0.0,8.0
JADNI,50.0,0.0,1.0,0.0,16.0,74.0,5.0,51.0
