,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,273.0,33.0,9.0,0.0,37.0,407.0,8.0,250.0
EPAD,608.0,45.0,7.0,1.0,12.0,430.0,3.0,131.0
AIBL,0.0,1.0,0.0,10.0,29.0,5.0,0.0,12.0
ARWIBO,56.0,2.0,6.0,1.0,3.0,102.0,39.0,8.0
EDSD,22.0,1.0,5.0,1.0,0.0,32.0,19.0,5.0
PREVENT-AD,107.0,1.0,0.0,1.0,0.0,24.0,0.0,0.0
PharmaCog,45.0,1.0,4.0,0.0,1.0,60.0,11.0,23.0
NACC,165.0,7.0,10.0,6.0,10.0,178.0,57.0,73.0
EMIF,233.0,15.0,5.0,79.0,126.0,376.0,30.0,150.0
DOD-ADNI,13.0,10.0,2.0,0.0,1.0,75.0,1.0,11.0
JADNI,56.0,0.0,1.0,0.0,37.0,67.0,2.0,34.0
