,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,271.0,25.0,0.0,3.0,40.0,479.0,4.0,195.0
EPAD,595.0,53.0,2.0,7.0,22.0,410.0,5.0,143.0
AIBL,18.0,0.0,0.0,0.0,1.0,30.0,0.0,8.0
ARWIBO,55.0,8.0,2.0,8.0,15.0,88.0,9.0,32.0
EDSD,25.0,0.0,3.0,2.0,0.0,39.0,9.0,7.0
PREVENT-AD,3.0,2.0,1.0,0.0,1.0,115.0,3.0,8.0
PharmaCog,44.0,1.0,4.0,0.0,1.0,63.0,10.0,22.0
NACC,152.0,7.0,8.0,6.0,11.0,201.0,52.0,69.0
EMIF,301.0,22.0,12.0,8.0,34.0,390.0,62.0,185.0
DOD-ADNI,25.0,7.0,0.0,1.0,1.0,72.0,0.0,7.0
JADNI,57.0,0.0,1.0,0.0,35.0,64.0,2.0,38.0
