,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,260.0,23.0,6.0,0.0,21.0,459.0,15.0,233.0
EPAD,579.0,59.0,4.0,3.0,17.0,408.0,9.0,158.0
AIBL,18.0,0.0,0.0,0.0,1.0,30.0,0.0,8.0
ARWIBO,60.0,2.0,10.0,1.0,3.0,91.0,41.0,9.0
EDSD,12.0,1.0,2.0,1.0,3.0,45.0,8.0,13.0
PREVENT-AD,105.0,7.0,0.0,0.0,0.0,17.0,2.0,2.0
PharmaCog,45.0,1.0,2.0,0.0,1.0,68.0,6.0,22.0
NACC,174.0,6.0,5.0,8.0,21.0,196.0,37.0,59.0
EMIF,311.0,15.0,9.0,9.0,40.0,420.0,60.0,150.0
DOD-ADNI,8.0,9.0,1.0,1.0,2.0,83.0,0.0,9.0
JADNI,55.0,0.0,1.0,0.0,14.0,69.0,5.0,53.0
