,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,273.0,33.0,10.0,0.0,32.0,404.0,11.0,254.0
EPAD,565.0,56.0,4.0,2.0,16.0,422.0,8.0,164.0
AIBL,15.0,0.0,2.0,0.0,0.0,30.0,1.0,9.0
ARWIBO,31.0,7.0,3.0,3.0,13.0,76.0,20.0,64.0
EDSD,19.0,3.0,5.0,0.0,2.0,22.0,15.0,19.0
PREVENT-AD,83.0,13.0,0.0,8.0,1.0,19.0,2.0,7.0
PharmaCog,40.0,1.0,8.0,0.0,1.0,50.0,23.0,22.0
NACC,129.0,4.0,9.0,12.0,32.0,218.0,34.0,68.0
EMIF,284.0,15.0,16.0,6.0,37.0,421.0,72.0,163.0
DOD-ADNI,51.0,6.0,0.0,1.0,2.0,47.0,0.0,6.0
JADNI,52.0,0.0,1.0,0.0,16.0,78.0,2.0,48.0
