,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,243.0,21.0,0.0,25.0,216.0,313.0,0.0,199.0
EPAD,596.0,60.0,2.0,4.0,21.0,394.0,8.0,152.0
AIBL,17.0,1.0,1.0,1.0,0.0,26.0,1.0,10.0
ARWIBO,50.0,9.0,5.0,5.0,4.0,81.0,31.0,32.0
EDSD,24.0,0.0,1.0,2.0,3.0,49.0,2.0,4.0
PREVENT-AD,95.0,18.0,0.0,8.0,0.0,6.0,2.0,4.0
PharmaCog,46.0,1.0,2.0,0.0,1.0,68.0,5.0,22.0
NACC,146.0,4.0,11.0,4.0,15.0,222.0,44.0,60.0
EMIF,316.0,20.0,18.0,5.0,30.0,387.0,75.0,163.0
DOD-ADNI,4.0,7.0,0.0,1.0,2.0,88.0,0.0,11.0
JADNI,53.0,0.0,4.0,0.0,9.0,56.0,9.0,66.0
