,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,288.0,23.0,8.0,0.0,5.0,476.0,39.0,178.0
EPAD,593.0,59.0,2.0,4.0,18.0,401.0,11.0,149.0
AIBL,19.0,0.0,2.0,0.0,1.0,26.0,1.0,8.0
ARWIBO,46.0,8.0,6.0,5.0,4.0,79.0,28.0,41.0
EDSD,25.0,2.0,4.0,2.0,6.0,25.0,4.0,17.0
PREVENT-AD,0.0,1.0,0.0,0.0,1.0,118.0,3.0,10.0
PharmaCog,41.0,2.0,6.0,0.0,1.0,57.0,13.0,25.0
NACC,159.0,3.0,11.0,1.0,9.0,221.0,53.0,49.0
EMIF,286.0,16.0,8.0,9.0,60.0,431.0,49.0,155.0
DOD-ADNI,15.0,7.0,0.0,0.0,0.0,82.0,0.0,9.0
JADNI,56.0,0.0,1.0,0.0,21.0,77.0,2.0,40.0
