,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,270.0,32.0,8.0,0.0,27.0,431.0,13.0,236.0
EPAD,574.0,50.0,6.0,4.0,16.0,434.0,6.0,147.0
AIBL,16.0,0.0,2.0,0.0,0.0,29.0,1.0,9.0
ARWIBO,51.0,2.0,9.0,1.0,0.0,96.0,52.0,6.0
EDSD,24.0,0.0,1.0,2.0,3.0,46.0,3.0,6.0
PREVENT-AD,35.0,6.0,0.0,2.0,1.0,82.0,1.0,6.0
PharmaCog,42.0,1.0,1.0,0.0,1.0,72.0,4.0,24.0
NACC,168.0,5.0,13.0,2.0,5.0,199.0,60.0,54.0
EMIF,279.0,30.0,11.0,54.0,82.0,316.0,58.0,184.0
DOD-ADNI,38.0,7.0,0.0,1.0,0.0,59.0,0.0,8.0
JADNI,54.0,0.0,1.0,0.0,28.0,69.0,2.0,43.0
