,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,279.0,35.0,8.0,0.0,45.0,396.0,3.0,251.0
EPAD,594.0,50.0,4.0,5.0,21.0,417.0,5.0,141.0
AIBL,14.0,2.0,1.0,1.0,1.0,20.0,7.0,11.0
ARWIBO,49.0,2.0,9.0,1.0,0.0,90.0,64.0,2.0
EDSD,3.0,0.0,2.0,1.0,7.0,49.0,5.0,18.0
PREVENT-AD,112.0,14.0,4.0,0.0,0.0,2.0,0.0,1.0
PharmaCog,46.0,1.0,2.0,0.0,1.0,66.0,7.0,22.0
NACC,142.0,4.0,15.0,14.0,31.0,194.0,40.0,66.0
EMIF,306.0,21.0,13.0,19.0,62.0,391.0,46.0,156.0
DOD-ADNI,50.0,7.0,0.0,1.0,0.0,47.0,0.0,8.0
JADNI,53.0,0.0,2.0,0.0,15.0,65.0,6.0,56.0
