,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,289.0,24.0,8.0,0.0,7.0,479.0,32.0,178.0
EPAD,592.0,61.0,3.0,3.0,19.0,396.0,9.0,154.0
AIBL,10.0,0.0,1.0,0.0,0.0,34.0,3.0,9.0
ARWIBO,65.0,1.0,7.0,2.0,2.0,100.0,33.0,7.0
EDSD,20.0,1.0,5.0,1.0,0.0,29.0,24.0,5.0
PREVENT-AD,87.0,9.0,1.0,7.0,0.0,23.0,1.0,5.0
PharmaCog,45.0,1.0,2.0,0.0,1.0,69.0,4.0,23.0
NACC,183.0,8.0,12.0,7.0,13.0,174.0,45.0,64.0
EMIF,306.0,19.0,10.0,11.0,51.0,417.0,46.0,154.0
DOD-ADNI,10.0,6.0,0.0,1.0,1.0,86.0,0.0,9.0
JADNI,55.0,0.0,1.0,0.0,19.0,64.0,5.0,53.0
