,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,272.0,23.0,6.0,0.0,6.0,477.0,27.0,206.0
EPAD,585.0,51.0,6.0,3.0,14.0,426.0,7.0,145.0
AIBL,18.0,1.0,1.0,1.0,0.0,25.0,1.0,10.0
ARWIBO,53.0,2.0,15.0,1.0,2.0,71.0,59.0,14.0
EDSD,21.0,0.0,1.0,2.0,9.0,47.0,0.0,5.0
PREVENT-AD,2.0,4.0,0.0,0.0,17.0,97.0,0.0,13.0
PharmaCog,41.0,2.0,2.0,1.0,2.0,64.0,9.0,24.0
NACC,146.0,11.0,6.0,13.0,25.0,181.0,43.0,81.0
EMIF,298.0,19.0,8.0,15.0,69.0,425.0,24.0,156.0
DOD-ADNI,51.0,6.0,0.0,1.0,2.0,47.0,1.0,5.0
JADNI,56.0,0.0,3.0,0.0,16.0,60.0,6.0,56.0
