,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,261.0,31.0,8.0,0.0,46.0,413.0,3.0,255.0
EPAD,570.0,49.0,4.0,5.0,17.0,437.0,6.0,149.0
AIBL,21.0,1.0,2.0,0.0,0.0,15.0,9.0,9.0
ARWIBO,56.0,2.0,8.0,1.0,3.0,96.0,42.0,9.0
EDSD,22.0,0.0,1.0,2.0,7.0,45.0,2.0,6.0
PREVENT-AD,101.0,1.0,0.0,1.0,0.0,30.0,0.0,0.0
PharmaCog,44.0,2.0,3.0,0.0,1.0,63.0,9.0,23.0
NACC,145.0,5.0,5.0,17.0,31.0,183.0,43.0,77.0
EMIF,259.0,19.0,24.0,12.0,24.0,350.0,103.0,223.0
DOD-ADNI,51.0,7.0,0.0,1.0,1.0,46.0,0.0,7.0
JADNI,55.0,0.0,1.0,0.0,25.0,57.0,4.0,55.0
