,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,267.0,32.0,10.0,0.0,34.0,413.0,12.0,249.0
EPAD,603.0,44.0,7.0,4.0,14.0,431.0,3.0,131.0
AIBL,14.0,0.0,2.0,1.0,1.0,30.0,1.0,8.0
ARWIBO,56.0,3.0,12.0,1.0,2.0,82.0,47.0,14.0
EDSD,18.0,1.0,4.0,1.0,0.0,39.0,17.0,5.0
PREVENT-AD,88.0,23.0,7.0,2.0,0.0,6.0,2.0,5.0
PharmaCog,48.0,1.0,2.0,0.0,2.0,69.0,2.0,21.0
NACC,156.0,3.0,7.0,4.0,14.0,221.0,44.0,57.0
EMIF,289.0,15.0,9.0,7.0,48.0,439.0,52.0,155.0
DOD-ADNI,27.0,7.0,0.0,1.0,0.0,70.0,0.0,8.0
JADNI,57.0,0.0,1.0,0.0,17.0,78.0,2.0,42.0
