,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,263.0,28.0,10.0,0.0,12.0,453.0,20.0,231.0
EPAD,591.0,55.0,4.0,4.0,16.0,408.0,9.0,150.0
AIBL,20.0,0.0,2.0,0.0,0.0,24.0,2.0,9.0
ARWIBO,61.0,1.0,4.0,2.0,0.0,115.0,28.0,6.0
EDSD,26.0,0.0,2.0,2.0,3.0,41.0,3.0,8.0
PREVENT-AD,0.0,1.0,0.0,0.0,2.0,121.0,1.0,8.0
PharmaCog,46.0,0.0,0.0,1.0,18.0,75.0,0.0,5.0
NACC,158.0,3.0,6.0,4.0,12.0,218.0,49.0,56.0
EMIF,316.0,20.0,23.0,3.0,23.0,376.0,92.0,161.0
DOD-ADNI,27.0,7.0,0.0,1.0,1.0,70.0,0.0,7.0
JADNI,24.0,0.0,31.0,0.0,0.0,20.0,50.0,72.0
