,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,278.0,34.0,7.0,0.0,38.0,412.0,9.0,239.0
EPAD,593.0,50.0,4.0,5.0,21.0,418.0,5.0,141.0
AIBL,22.0,0.0,2.0,0.0,0.0,23.0,1.0,9.0
ARWIBO,60.0,2.0,10.0,1.0,3.0,91.0,40.0,10.0
EDSD,21.0,2.0,3.0,1.0,10.0,28.0,4.0,16.0
PREVENT-AD,0.0,1.0,0.0,0.0,12.0,107.0,1.0,12.0
PharmaCog,46.0,1.0,2.0,0.0,1.0,65.0,8.0,22.0
NACC,146.0,2.0,5.0,5.0,32.0,257.0,25.0,34.0
EMIF,301.0,20.0,11.0,6.0,42.0,406.0,52.0,176.0
DOD-ADNI,11.0,7.0,0.0,1.0,0.0,85.0,0.0,9.0
JADNI,50.0,0.0,1.0,0.0,16.0,71.0,5.0,54.0
