,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,261.0,30.0,8.0,0.0,32.0,434.0,13.0,239.0
EPAD,589.0,53.0,4.0,5.0,17.0,415.0,7.0,147.0
AIBL,18.0,0.0,2.0,0.0,0.0,27.0,1.0,9.0
ARWIBO,49.0,10.0,6.0,5.0,3.0,70.0,33.0,41.0
EDSD,21.0,2.0,3.0,1.0,7.0,31.0,4.0,16.0
PREVENT-AD,0.0,1.0,0.0,0.0,7.0,116.0,0.0,9.0
PharmaCog,41.0,0.0,1.0,0.0,2.0,73.0,6.0,22.0
NACC,176.0,6.0,6.0,3.0,9.0,207.0,46.0,53.0
EMIF,302.0,18.0,15.0,6.0,25.0,395.0,86.0,167.0
DOD-ADNI,40.0,11.0,0.0,4.0,2.0,48.0,0.0,8.0
JADNI,55.0,0.0,1.0,0.0,25.0,74.0,2.0,40.0
