,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,232.0,26.0,43.0,0.0,0.0,294.0,196.0,226.0
EPAD,593.0,51.0,3.0,6.0,22.0,415.0,6.0,141.0
AIBL,15.0,1.0,1.0,1.0,0.0,29.0,0.0,10.0
ARWIBO,58.0,2.0,7.0,1.0,0.0,107.0,37.0,5.0
EDSD,12.0,1.0,3.0,1.0,7.0,39.0,5.0,17.0
PREVENT-AD,0.0,1.0,0.0,0.0,11.0,106.0,1.0,14.0
PharmaCog,42.0,2.0,2.0,0.0,1.0,63.0,11.0,24.0
NACC,184.0,8.0,8.0,5.0,17.0,181.0,43.0,60.0
EMIF,279.0,13.0,14.0,3.0,29.0,443.0,77.0,156.0
DOD-ADNI,41.0,8.0,0.0,1.0,0.0,55.0,0.0,8.0
JADNI,55.0,0.0,1.0,0.0,27.0,69.0,2.0,43.0
