,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,270.0,23.0,7.0,0.0,6.0,477.0,26.0,208.0
EPAD,573.0,49.0,3.0,5.0,18.0,435.0,6.0,148.0
AIBL,6.0,2.0,0.0,9.0,26.0,6.0,0.0,8.0
ARWIBO,62.0,2.0,6.0,3.0,6.0,98.0,24.0,16.0
EDSD,22.0,0.0,3.0,2.0,0.0,39.0,13.0,6.0
PREVENT-AD,7.0,6.0,0.0,19.0,34.0,59.0,0.0,8.0
PharmaCog,46.0,1.0,2.0,0.0,1.0,68.0,4.0,23.0
NACC,185.0,4.0,10.0,3.0,9.0,194.0,51.0,50.0
EMIF,283.0,17.0,18.0,9.0,38.0,394.0,63.0,192.0
DOD-ADNI,12.0,10.0,3.0,0.0,1.0,75.0,1.0,11.0
JADNI,55.0,0.0,4.0,0.0,12.0,60.0,6.0,60.0
