,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,279.0,24.0,6.0,0.0,6.0,470.0,27.0,205.0
EPAD,594.0,52.0,2.0,6.0,22.0,413.0,6.0,142.0
AIBL,21.0,0.0,3.0,0.0,0.0,21.0,3.0,9.0
ARWIBO,56.0,6.0,9.0,2.0,3.0,79.0,39.0,23.0
EDSD,18.0,4.0,2.0,2.0,5.0,25.0,5.0,24.0
PREVENT-AD,105.0,1.0,0.0,11.0,3.0,13.0,0.0,0.0
PharmaCog,48.0,2.0,1.0,0.0,2.0,64.0,5.0,23.0
NACC,182.0,4.0,10.0,5.0,15.0,194.0,49.0,47.0
EMIF,286.0,17.0,13.0,7.0,36.0,405.0,70.0,180.0
DOD-ADNI,31.0,12.0,2.0,0.0,0.0,59.0,0.0,9.0
JADNI,49.0,0.0,1.0,0.0,26.0,74.0,2.0,45.0
