,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,288.0,25.0,0.0,5.0,44.0,467.0,4.0,184.0
EPAD,604.0,45.0,7.0,3.0,16.0,427.0,3.0,132.0
AIBL,18.0,0.0,2.0,0.0,1.0,27.0,1.0,8.0
ARWIBO,105.0,22.0,42.0,4.0,0.0,18.0,21.0,5.0
EDSD,21.0,2.0,3.0,2.0,10.0,27.0,2.0,18.0
PREVENT-AD,119.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0
PharmaCog,39.0,0.0,2.0,0.0,1.0,66.0,13.0,24.0
NACC,153.0,4.0,6.0,7.0,14.0,205.0,56.0,61.0
EMIF,315.0,18.0,9.0,12.0,45.0,408.0,59.0,148.0
DOD-ADNI,64.0,15.0,1.0,1.0,0.0,26.0,0.0,6.0
JADNI,66.0,3.0,1.0,0.0,30.0,61.0,2.0,34.0
