,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,278.0,25.0,8.0,0.0,4.0,463.0,25.0,214.0
EPAD,590.0,62.0,5.0,4.0,15.0,393.0,8.0,160.0
AIBL,16.0,0.0,2.0,0.0,0.0,31.0,0.0,8.0
ARWIBO,53.0,0.0,16.0,1.0,0.0,76.0,71.0,0.0
EDSD,18.0,2.0,4.0,1.0,2.0,24.0,13.0,21.0
PREVENT-AD,100.0,15.0,2.0,4.0,0.0,6.0,3.0,3.0
PharmaCog,43.0,2.0,2.0,1.0,3.0,61.0,9.0,24.0
NACC,170.0,6.0,11.0,15.0,28.0,175.0,39.0,62.0
EMIF,315.0,18.0,9.0,11.0,47.0,411.0,64.0,139.0
DOD-ADNI,20.0,11.0,4.0,0.0,0.0,68.0,0.0,10.0
JADNI,56.0,0.0,1.0,0.0,19.0,74.0,2.0,45.0
