,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,270.0,22.0,6.0,0.0,4.0,481.0,34.0,200.0
EPAD,605.0,48.0,8.0,3.0,15.0,419.0,3.0,136.0
AIBL,17.0,0.0,2.0,1.0,1.0,28.0,0.0,8.0
ARWIBO,51.0,9.0,2.0,9.0,20.0,79.0,9.0,38.0
EDSD,22.0,1.0,2.0,2.0,8.0,31.0,5.0,14.0
PREVENT-AD,0.0,1.0,0.0,0.0,4.0,114.0,1.0,13.0
PharmaCog,49.0,1.0,2.0,0.0,3.0,66.0,3.0,21.0
NACC,166.0,5.0,8.0,2.0,10.0,213.0,46.0,56.0
EMIF,283.0,14.0,19.0,4.0,20.0,422.0,93.0,159.0
DOD-ADNI,80.0,11.0,1.0,1.0,0.0,15.0,0.0,5.0
JADNI,55.0,0.0,2.0,0.0,13.0,62.0,7.0,58.0
