,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,272.0,33.0,11.0,0.0,37.0,394.0,9.0,261.0
EPAD,576.0,57.0,2.0,4.0,20.0,414.0,8.0,156.0
AIBL,3.0,0.0,14.0,0.0,0.0,4.0,27.0,9.0
ARWIBO,60.0,3.0,10.0,2.0,4.0,86.0,35.0,17.0
EDSD,18.0,3.0,2.0,2.0,4.0,23.0,4.0,29.0
PREVENT-AD,94.0,7.0,0.0,12.0,2.0,15.0,0.0,3.0
PharmaCog,41.0,0.0,1.0,0.0,1.0,67.0,12.0,23.0
NACC,158.0,6.0,8.0,18.0,41.0,179.0,31.0,65.0
EMIF,292.0,14.0,9.0,10.0,56.0,457.0,34.0,142.0
DOD-ADNI,38.0,7.0,10.0,0.0,0.0,49.0,1.0,8.0
JADNI,52.0,0.0,1.0,0.0,10.0,82.0,4.0,48.0
