,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,254.0,25.0,5.0,0.0,40.0,440.0,8.0,245.0
EPAD,572.0,49.0,2.0,6.0,22.0,435.0,6.0,145.0
AIBL,17.0,1.0,1.0,1.0,0.0,26.0,1.0,10.0
ARWIBO,63.0,1.0,5.0,2.0,0.0,112.0,28.0,6.0
EDSD,18.0,2.0,3.0,1.0,1.0,30.0,12.0,18.0
PREVENT-AD,105.0,11.0,0.0,1.0,1.0,12.0,1.0,2.0
PharmaCog,41.0,1.0,0.0,0.0,3.0,73.0,4.0,23.0
NACC,182.0,10.0,8.0,1.0,12.0,194.0,43.0,56.0
EMIF,314.0,15.0,5.0,8.0,51.0,457.0,35.0,129.0
DOD-ADNI,9.0,5.0,0.0,4.0,5.0,83.0,0.0,7.0
JADNI,53.0,0.0,4.0,0.0,10.0,54.0,7.0,69.0
