,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,283.0,25.0,8.0,0.0,5.0,462.0,31.0,203.0
EPAD,593.0,50.0,4.0,4.0,17.0,420.0,7.0,142.0
AIBL,18.0,0.0,2.0,0.0,0.0,26.0,2.0,9.0
ARWIBO,59.0,2.0,6.0,1.0,3.0,104.0,32.0,10.0
EDSD,19.0,2.0,3.0,1.0,7.0,31.0,5.0,17.0
PREVENT-AD,68.0,6.0,1.0,1.0,0.0,49.0,1.0,7.0
PharmaCog,42.0,0.0,0.0,0.0,21.0,79.0,0.0,3.0
NACC,156.0,8.0,8.0,1.0,10.0,213.0,49.0,61.0
EMIF,308.0,16.0,5.0,13.0,57.0,441.0,30.0,144.0
DOD-ADNI,6.0,8.0,1.0,1.0,2.0,85.0,0.0,10.0
JADNI,49.0,0.0,1.0,0.0,20.0,73.0,3.0,51.0
