,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,274.0,23.0,0.0,5.0,51.0,472.0,3.0,189.0
EPAD,592.0,52.0,5.0,5.0,16.0,411.0,9.0,147.0
AIBL,10.0,2.0,0.0,1.0,3.0,25.0,6.0,10.0
ARWIBO,64.0,0.0,5.0,1.0,0.0,113.0,34.0,0.0
EDSD,26.0,1.0,3.0,1.0,1.0,33.0,10.0,10.0
PREVENT-AD,89.0,1.0,0.0,2.0,4.0,37.0,0.0,0.0
PharmaCog,40.0,0.0,3.0,0.0,1.0,65.0,13.0,23.0
NACC,178.0,7.0,12.0,6.0,11.0,175.0,51.0,66.0
EMIF,313.0,18.0,11.0,6.0,35.0,406.0,64.0,161.0
DOD-ADNI,17.0,8.0,0.0,1.0,0.0,79.0,0.0,8.0
JADNI,54.0,0.0,1.0,0.0,32.0,65.0,2.0,43.0
