,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,256.0,23.0,10.0,0.0,9.0,455.0,23.0,241.0
EPAD,578.0,48.0,3.0,5.0,19.0,440.0,3.0,141.0
AIBL,16.0,0.0,2.0,0.0,1.0,29.0,1.0,8.0
ARWIBO,53.0,6.0,11.0,2.0,2.0,69.0,53.0,21.0
EDSD,20.0,1.0,5.0,1.0,0.0,38.0,15.0,5.0
PREVENT-AD,10.0,2.0,0.0,0.0,2.0,108.0,1.0,10.0
PharmaCog,40.0,2.0,8.0,0.0,1.0,50.0,20.0,24.0
NACC,159.0,4.0,6.0,7.0,20.0,208.0,44.0,58.0
EMIF,306.0,21.0,18.0,6.0,29.0,391.0,64.0,179.0
DOD-ADNI,13.0,11.0,0.0,1.0,3.0,75.0,0.0,10.0
JADNI,56.0,0.0,1.0,0.0,16.0,68.0,5.0,51.0
