,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,289.0,25.0,3.0,0.0,22.0,478.0,15.0,185.0
EPAD,577.0,55.0,4.0,3.0,15.0,420.0,12.0,151.0
AIBL,15.0,1.0,2.0,0.0,0.0,21.0,9.0,9.0
ARWIBO,56.0,3.0,8.0,1.0,4.0,94.0,38.0,13.0
EDSD,20.0,1.0,5.0,1.0,0.0,28.0,25.0,5.0
PREVENT-AD,97.0,10.0,0.0,1.0,0.0,20.0,1.0,4.0
PharmaCog,41.0,3.0,5.0,0.0,1.0,57.0,13.0,25.0
NACC,167.0,6.0,6.0,7.0,15.0,203.0,44.0,58.0
EMIF,276.0,12.0,15.0,10.0,47.0,424.0,74.0,156.0
DOD-ADNI,10.0,9.0,1.0,1.0,2.0,81.0,0.0,9.0
JADNI,56.0,1.0,0.0,1.0,37.0,44.0,4.0,54.0
