,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,270.0,21.0,0.0,4.0,52.0,480.0,3.0,187.0
EPAD,598.0,52.0,6.0,3.0,13.0,415.0,7.0,143.0
AIBL,15.0,0.0,2.0,0.0,1.0,31.0,0.0,8.0
ARWIBO,54.0,3.0,11.0,2.0,3.0,82.0,43.0,19.0
EDSD,22.0,2.0,2.0,1.0,10.0,28.0,4.0,16.0
PREVENT-AD,86.0,14.0,0.0,12.0,0.0,12.0,1.0,8.0
PharmaCog,41.0,0.0,2.0,0.0,3.0,74.0,3.0,22.0
NACC,154.0,4.0,11.0,6.0,17.0,211.0,42.0,61.0
EMIF,297.0,21.0,21.0,8.0,27.0,374.0,80.0,186.0
DOD-ADNI,37.0,12.0,3.0,0.0,0.0,52.0,0.0,9.0
JADNI,55.0,0.0,1.0,0.0,17.0,66.0,5.0,53.0
