,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,261.0,29.0,8.0,0.0,28.0,440.0,13.0,238.0
EPAD,572.0,54.0,2.0,6.0,21.0,428.0,5.0,149.0
AIBL,11.0,0.0,1.0,0.0,0.0,33.0,3.0,9.0
ARWIBO,62.0,5.0,5.0,2.0,6.0,92.0,29.0,16.0
EDSD,19.0,1.0,5.0,1.0,0.0,36.0,16.0,7.0
PREVENT-AD,26.0,1.0,0.0,1.0,4.0,100.0,0.0,1.0
PharmaCog,46.0,1.0,2.0,0.0,1.0,67.0,5.0,23.0
NACC,168.0,5.0,9.0,4.0,14.0,201.0,45.0,60.0
EMIF,293.0,16.0,8.0,12.0,55.0,419.0,42.0,169.0
DOD-ADNI,24.0,11.0,1.0,0.0,3.0,66.0,0.0,8.0
JADNI,54.0,0.0,3.0,0.0,18.0,53.0,5.0,64.0
