,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,280.0,24.0,6.0,0.0,13.0,480.0,27.0,187.0
EPAD,601.0,42.0,6.0,4.0,20.0,431.0,2.0,131.0
AIBL,19.0,0.0,2.0,0.0,0.0,25.0,2.0,9.0
ARWIBO,48.0,2.0,19.0,1.0,0.0,66.0,75.0,6.0
EDSD,24.0,0.0,1.0,2.0,1.0,52.0,1.0,4.0
PREVENT-AD,90.0,11.0,0.0,11.0,2.0,14.0,0.0,5.0
PharmaCog,45.0,1.0,2.0,0.0,2.0,71.0,3.0,21.0
NACC,164.0,7.0,15.0,5.0,13.0,189.0,47.0,66.0
EMIF,302.0,21.0,19.0,6.0,29.0,386.0,79.0,172.0
DOD-ADNI,6.0,10.0,0.0,1.0,3.0,80.0,1.0,12.0
JADNI,56.0,0.0,1.0,0.0,35.0,59.0,2.0,44.0
