,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,259.0,24.0,4.0,0.0,33.0,450.0,10.0,237.0
EPAD,595.0,54.0,2.0,7.0,22.0,410.0,6.0,141.0
AIBL,22.0,0.0,2.0,0.0,0.0,23.0,1.0,9.0
ARWIBO,55.0,0.0,15.0,1.0,0.0,92.0,54.0,0.0
EDSD,24.0,0.0,1.0,2.0,8.0,44.0,1.0,5.0
PREVENT-AD,92.0,20.0,0.0,15.0,0.0,3.0,1.0,2.0
PharmaCog,47.0,1.0,2.0,0.0,2.0,69.0,3.0,21.0
NACC,169.0,6.0,11.0,13.0,20.0,181.0,43.0,63.0
EMIF,315.0,11.0,4.0,12.0,61.0,457.0,35.0,119.0
DOD-ADNI,32.0,8.0,0.0,9.0,3.0,53.0,0.0,8.0
JADNI,56.0,0.0,1.0,0.0,29.0,68.0,2.0,41.0
