,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,255.0,28.0,8.0,0.0,42.0,397.0,8.0,279.0
EPAD,596.0,53.0,3.0,6.0,22.0,412.0,6.0,139.0
AIBL,4.0,11.0,2.0,0.0,0.0,5.0,3.0,32.0
ARWIBO,52.0,3.0,9.0,1.0,2.0,85.0,51.0,14.0
EDSD,26.0,0.0,3.0,1.0,0.0,37.0,17.0,1.0
PREVENT-AD,90.0,1.0,0.0,2.0,4.0,36.0,0.0,0.0
PharmaCog,46.0,1.0,0.0,0.0,4.0,73.0,2.0,19.0
NACC,186.0,8.0,9.0,8.0,10.0,167.0,52.0,66.0
EMIF,278.0,20.0,15.0,14.0,47.0,391.0,65.0,184.0
DOD-ADNI,7.0,5.0,0.0,0.0,0.0,91.0,0.0,10.0
JADNI,56.0,0.0,1.0,0.0,22.0,62.0,5.0,51.0
